scenario,seed,method,chunk,phase,ari,learn_s,us_per_point,clusters
stationary,0,river DBSTREAM,6,before,0.17455297861558192,0.004959623001923319,19.838492007693276,24
stationary,0,river DBSTREAM,7,before,0.1707321283902833,0.0048528119950788096,19.41124798031524,24
stationary,0,river DBSTREAM,8,after,0.1629522210394401,0.005156683000677731,20.626732002710924,25
stationary,0,river DBSTREAM,9,after,0.1502294413080556,0.005219131002377253,20.876524009509012,25
stationary,0,river DBSTREAM,10,after,0.16269694338869733,0.005499557999428362,21.998231997713447,25
stationary,0,river DBSTREAM,11,after,0.15822551411360458,0.005424016002507415,21.69606401002966,25
stationary,0,river DBSTREAM,12,after,0.16363029318764422,0.005485722002049442,21.94288800819777,25
stationary,0,river DBSTREAM,13,after,0.1662913757164867,0.005692119993909728,22.76847997563891,27
stationary,0,river DBSTREAM,14,after,0.16177868279634744,0.00562471299781464,22.49885199125856,26
stationary,0,river DBSTREAM,15,after,0.179441515017479,0.005691077996743843,22.764311986975372,26
stationary,0,river CluStream,0,before,1.0,0.0581367409977247,232.5469639908988,3
stationary,0,river CluStream,1,before,1.0,0.08601217899558833,344.0487159823533,3
stationary,0,river CluStream,2,before,1.0,0.06459354799881112,258.3741919952445,3
stationary,0,river CluStream,3,before,1.0,0.048821780997968744,195.28712399187498,3
stationary,0,river CluStream,4,before,1.0,0.04512147599598393,180.4859039839357,3
stationary,0,river CluStream,5,before,1.0,0.028974214001209475,115.8968560048379,3
stationary,0,river CluStream,6,before,1.0,0.030962160002673045,123.84864001069218,3
stationary,0,river CluStream,7,before,1.0,0.033219474003999494,132.87789601599798,3
stationary,0,river CluStream,8,after,1.0,0.052033097003004514,208.13238801201805,3
stationary,0,river CluStream,9,after,1.0,0.05665921399486251,226.63685597945005,3
stationary,0,river CluStream,10,after,1.0,0.05241637799917953,209.66551199671812,3
stationary,0,river CluStream,11,after,1.0,0.052462483996350784,209.84993598540314,3
stationary,0,river CluStream,12,after,1.0,0.03480244900129037,139.20979600516148,3
stationary,0,river CluStream,13,after,1.0,0.03446708800038323,137.8683520015329,3
stationary,0,river CluStream,14,after,1.0,0.035005068995815236,140.02027598326094,3
stationary,0,river CluStream,15,after,1.0,0.03935013699810952,157.40054799243808,3
stationary,1,betula DenStream,0,before,0.6280560437377098,5.518300167750567e-05,0.2207320067100227,3
stationary,1,betula DenStream,1,before,0.726439285406212,2.859400410670787e-05,0.11437601642683148,3
stationary,1,betula DenStream,2,before,0.7328863291692326,2.8674003260675818e-05,0.11469601304270327,3
stationary,1,betula DenStream,3,before,0.8096947436382665,2.8233000193722546e-05,0.11293200077489018,3
stationary,1,betula DenStream,4,before,0.7803389842794777,2.8383998142089695e-05,0.11353599256835878,3
stationary,1,betula DenStream,5,before,0.7370029747686243,2.811299782479182e-05,0.11245199129916728,3
stationary,1,betula DenStream,6,before,0.7275780406773273,2.7421003323979676e-05,0.1096840132959187,3
stationary,1,betula DenStream,7,before,0.8339288279304983,2.8544003725983202e-05,0.11417601490393281,3
stationary,1,betula DenStream,8,after,0.787586782868884,2.7982998290099204e-05,0.11193199316039681,3
stationary,1,betula DenStream,9,after,0.8566513967996527,2.8403999749571085e-05,0.11361599899828434,3
stationary,1,betula DenStream,10,after,0.7592260790579609,2.807299460982904e-05,0.11229197843931615,3
stationary,1,betula DenStream,11,after,0.7569399943332544,2.8743997972924262e-05,0.11497599189169705,3
stationary,1,betula DenStream,12,after,0.8681315346862609,2.8504000511020422e-05,0.11401600204408169,3
stationary,1,betula DenStream,13,after,0.7327080722217554,2.8684000426437706e-05,0.11473600170575082,3
stationary,1,betula DenStream,14,after,0.8037247758686904,2.9225004254840314e-05,0.11690001701936126,3
stationary,1,betula DenStream,15,after,0.8558535666981032,2.894499630201608e-05,0.11577998520806432,3
stationary,1,river DenStream,0,before,0.26648460089309106,0.001117970998166129,4.471883992664516,16
stationary,1,river DenStream,1,before,0.24595400583265883,0.0011661919998005033,4.664767999202013,16
stationary,1,river DenStream,2,before,0.2645119919777859,0.0011619239958235994,4.647695983294398,16
stationary,1,river DenStream,3,before,0.27668906782785013,0.0011533580036484636,4.6134320145938545,16
stationary,1,river DenStream,4,before,0.24706599207215432,0.0011845269982586615,4.738107993034646,16
stationary,1,river DenStream,5,before,0.2509421969437704,0.0011638279975159094,4.6553119900636375,16
stationary,1,river DenStream,6,before,0.2579986284208019,0.0011701700059347786,4.680680023739114,16
stationary,1,river DenStream,7,before,0.25486456069703145,0.001166312002169434,4.665248008677736,16
stationary,1,river DenStream,8,after,0.25503310859514683,0.0011609430002863519,4.643772001145408,16
stationary,1,river DenStream,9,after,0.2507179682144706,0.001160061001428403,4.640244005713612,16
stationary,1,river DenStream,10,after,0.2436403843731421,0.0011444010015111417,4.577604006044567,16
stationary,1,river DenStream,11,after,0.2420234739883996,0.0011543299988261424,4.61731999530457,16
stationary,1,river DenStream,12,after,0.25730803437433036,0.001163236993306782,4.652947973227128,16
stationary,1,river DenStream,13,after,0.24443694602028893,0.0011803390007116832,4.721356002846733,16
stationary,1,river DenStream,14,after,0.23810378417380026,0.00116594199789688,4.66376799158752,16
stationary,1,river DenStream,15,after,0.24282001685173618,0.0011933329951716587,4.773331980686635,16
stationary,1,betula DbStream,0,before,0.6886805224489222,8.006099960766733e-05,0.3202439984306693,7
stationary,1,betula DbStream,1,before,0.8447468054999022,9.645100362831727e-05,0.38580401451326907,8
stationary,1,betula DbStream,2,before,0.9248113775935278,0.00014767700486117974,0.590708019444719,5
stationary,1,betula DbStream,3,before,0.9256543048099308,0.00017565099551575258,0.7026039820630103,5
stationary,1,betula DbStream,4,before,0.8182970197013928,0.00022823899780632928,0.9129559912253171,8
stationary,1,betula DbStream,5,before,0.8561160352600478,0.00027707999834092334,1.1083199933636934,7
stationary,1,betula DbStream,6,before,0.8935128065072372,0.00035481699887895957,1.4192679955158383,7
stationary,1,betula DbStream,7,before,0.898119107157337,0.00041938900540117174,1.677556021604687,5
stationary,1,betula DbStream,8,after,0.8813931156783635,0.0004760849988088012,1.9043399952352047,6
stationary,1,betula DbStream,9,after,0.9232880143102282,0.0005262589984340593,2.1050359937362373,6
stationary,1,betula DbStream,10,after,0.8585065477325456,0.0006037150014890358,2.414860005956143,9
stationary,1,betula DbStream,11,after,0.926510816691963,0.0006567249947693199,2.6268999790772796,6
stationary,1,betula DbStream,12,after,0.9110040407969893,0.0008310619959956966,3.3242479839827865,6
stationary,1,betula DbStream,13,after,0.8585581399962666,0.0008929690011427738,3.571876004571095,9
stationary,1,betula DbStream,14,after,0.8862033993780164,0.0009088179940590635,3.635271976236254,8
