dataset,n,max_leaves,distance,head,seeds,ari,ari_min,ari_max,leaves,compression,max_leaf_weight,mean_sq_radius,time_s
covtype-20k,20000,20000,manhattan,gmm,3,0.1108578942674258,0.08073521358066035,0.1108578942674258,20000,1.0,1.0,0.0,0.9660621009970782
covtype-20k,20000,20000,ward,kmeans,3,0.0872238310841657,0.08017652026335112,0.09545387291264665,20000,1.0,1.0,0.0,0.17820109000604134
covtype-20k,20000,20000,ward,gmm,3,0.1108578942674258,0.08073521358066035,0.1108578942674258,20000,1.0,1.0,0.0,0.9838150330033386
covtype-20k,20000,20000,average,kmeans,3,0.0872238310841657,0.08017652026335112,0.09545387291264665,20000,1.0,1.0,0.0,0.17372150799201336
covtype-20k,20000,20000,average,gmm,3,0.1108578942674258,0.08073521358066035,0.1108578942674258,20000,1.0,1.0,0.0,1.0316348269989248
covtype-20k,20000,8000,euclidean,kmeans,3,0.05890282712264598,0.05593606517787066,0.05975705321224324,7295,2.7416038382453736,77.0,0.40381106829726304,0.10572014599165414
covtype-20k,20000,8000,euclidean,gmm,3,0.09417498683009669,0.09417498683009669,0.09417498683009669,7295,2.7416038382453736,77.0,0.40381106829726304,0.4145289669977501
covtype-20k,20000,8000,manhattan,kmeans,3,0.0834988727149328,0.0783534078909087,0.09444681231492648,7414,2.697599136768276,83.0,0.5056152680640047,0.09730170200055
covtype-20k,20000,8000,manhattan,gmm,3,0.11536284302322068,0.09790642630108914,0.11536284302322068,7414,2.697599136768276,83.0,0.5056152680640045,0.3430173169908812
covtype-20k,20000,8000,ward,kmeans,3,0.08695192542064355,0.07471613051768441,0.10070421291990483,7302,2.7389756231169544,35.0,0.322337906269217,0.10605228100030217
covtype-20k,20000,8000,ward,gmm,3,0.05421878834869363,0.05421878834869363,0.05421878834869363,7302,2.7389756231169544,35.0,0.322337906269217,0.42046925400791224
covtype-20k,20000,8000,average,kmeans,3,0.09613823044309835,0.06693396362277482,0.09711952788564696,7995,2.5015634771732334,59.0,0.4557988390463228,0.11284719499235507
covtype-20k,20000,8000,average,gmm,3,0.11477488392652443,0.11477488392652443,0.11477488392652443,7995,2.5015634771732334,59.0,0.4557988390463228,0.5566571459930856
covtype-20k,20000,4000,euclidean,kmeans,3,0.06612745365040923,0.06095195832033134,0.07805169184817322,3780,5.291005291005291,226.0,1.0018662785626613,0.08079010300571099
covtype-20k,20000,4000,euclidean,gmm,3,0.14533630985480228,0.14533630985480228,0.14533630985480228,3780,5.291005291005291,226.0,1.0018662785626613,0.21649450399854686
covtype-20k,20000,4000,manhattan,kmeans,3,0.09243900629533845,0.06677131387269519,0.09690059224918701,3818,5.238344683080147,216.0,1.1547077874725862,0.0747178680030629
covtype-20k,20000,4000,manhattan,gmm,3,0.06802254460070183,0.06802254460070183,0.06802254460070183,3818,5.238344683080147,216.0,1.1547077874725862,0.24788941199949477
covtype-20k,20000,4000,ward,kmeans,3,0.08530732635264399,0.03635235356145336,0.09321862658694823,3680,5.434782608695652,101.0,0.7579694623343983,0.0804289340012474
covtype-20k,20000,4000,ward,gmm,3,0.09332264573071243,0.09332264573071243,0.1015970651980179,3680,5.434782608695652,101.0,0.7579694623343983,0.2424545450048754
covtype-20k,20000,4000,average,kmeans,3,0.09007334398785748,0.07763846849247495,0.09846505873389323,3641,5.492996429552321,186.0,1.2086816399144997,0.07808695099083707
covtype-20k,20000,4000,average,gmm,3,0.11176919768786747,0.10344261094897184,0.11176919768786747,3641,5.492996429552321,186.0,1.2086816399144997,0.28816231900418643
covtype-20k,20000,2000,euclidean,kmeans,3,0.08245440624742006,0.04941071091379971,0.09109320836934788,1805,11.0803324099723,793.0,2.1193626263695355,0.05502229300327599
covtype-20k,20000,2000,euclidean,gmm,3,0.07025667961214298,0.026569604395418233,0.07025667961214298,1805,11.0803324099723,793.0,2.1193626263695355,0.12842145099421032
covtype-20k,20000,2000,euclidean,ward,3,0.14164936084112206,0.14164936084112206,0.14164936084112206,1805,11.0803324099723,793.0,2.1193626263695355,0.17122286099765915
covtype-20k,20000,2000,manhattan,kmeans,3,0.09215230538079168,0.06338436803794992,0.09818471061866677,1950,10.256410256410257,735.0,2.2212924493839665,0.05152751400601119
covtype-20k,20000,2000,manhattan,gmm,3,0.10559741844450708,0.08327138826954295,0.10559741844450708,1950,10.256410256410257,735.0,2.2212924493839665,0.11269435699796304
covtype-20k,20000,2000,manhattan,ward,3,0.1418731809765958,0.1418731809765958,0.1418731809765958,1950,10.256410256410257,735.0,2.2212924493839665,0.17683410899189766
covtype-20k,20000,2000,ward,kmeans,3,0.09635940286795386,0.08337913539668279,0.09887659281697288,1959,10.209290454313425,117.0,1.321550578777102,0.05574860901106149
covtype-20k,20000,2000,ward,gmm,3,0.09748035859796723,0.09748035859796723,0.09748035859796723,1959,10.209290454313425,117.0,1.3215505787771022,0.16755129900411703
covtype-20k,20000,2000,ward,ward,3,0.1417083385560016,0.1417083385560016,0.1417083385560016,1959,10.209290454313425,117.0,1.321550578777102,0.18517224400420673
covtype-20k,20000,2000,average,kmeans,3,0.08365773742677932,0.07444262929518128,0.08589957522236348,1926,10.384215991692628,465.0,2.523909901811898,0.05612969500361942
covtype-20k,20000,2000,average,gmm,3,0.07386743347040126,0.07386743347040126,0.11023041644042379,1926,10.384215991692628,465.0,2.5239099018118982,0.21153378899907693
covtype-20k,20000,2000,average,ward,3,0.14169058255060363,0.14169058255060363,0.14169058255060363,1926,10.384215991692628,465.0,2.523909901811898,0.1780360889970325
covtype-20k,20000,1000,euclidean,kmeans,3,0.08155406746995061,0.07289859748096564,0.09496150214662098,950,21.05263157894737,1378.0,3.308296701690495,0.04067805899831001
covtype-20k,20000,1000,euclidean,gmm,3,0.11477229580363915,0.11477229580363915,0.11477229580363915,950,21.05263157894737,1378.0,3.308296701690495,0.08244348000152968
covtype-20k,20000,1000,euclidean,ward,3,0.141199902108295,0.141199902108295,0.141199902108295,950,21.05263157894737,1378.0,3.308296701690495,0.07858295300684404
covtype-20k,20000,1000,manhattan,kmeans,3,0.06936914911372483,0.06657322023174692,0.08768013362031307,944,21.1864406779661,1510.0,4.064950862822439,0.03984762700565625
covtype-20k,20000,1000,manhattan,gmm,3,0.08153271240843764,0.029961524131649337,0.08153271240843764,944,21.1864406779661,1510.0,4.064950862822439,0.0750271800061455
covtype-20k,20000,1000,manhattan,ward,3,0.14149126154838065,0.14149126154838065,0.14149126154838065,944,21.1864406779661,1510.0,4.064950862822439,0.07429650500125717
covtype-20k,20000,1000,ward,kmeans,3,0.07282724897274667,0.06713259842687518,0.08684273992491122,950,21.05263157894737,346.0,2.0200471265023996,0.03896348499984015
covtype-20k,20000,1000,ward,gmm,3,0.08145697463302513,0.08145697463302513,0.10404348761518724,950,21.05263157894737,346.0,2.0200471265023996,0.08877898000355344
covtype-20k,20000,1000,ward,ward,3,0.14166388266868574,0.14166388266868574,0.14166388266868574,950,21.05263157894737,346.0,2.0200471265023996,0.07589344699226785
covtype-20k,20000,1000,average,kmeans,3,0.0856658101624278,0.05670760684523373,0.08570874454127134,917,21.810250817884405,691.0,3.6042508388229835,0.04292289799195714
