dataset,n,max_leaves,head,vary,p,ari_min,ari_median,ari_max,ari_spread,pairwise_ari_mean,pairwise_ari_min,leaves_min,leaves_max,max_leaf_weight_max,time_s_median
mnist-10k,10000,10000,ward,order,8,0.3418782285673455,0.34487006579777846,0.3480277967543324,0.006149568186986865,0.8417412785951367,0.8180432281707735,10000,10000,1.0,185.19897746850074
mnist-10k,10000,10000,ward,seed,8,0.3418857898163503,0.3418857898163503,0.3418857898163503,0.0,1.0,1.0,10000,10000,1.0,184.26081690749925
mnist-10k,10000,10000,ward,canonical,8,0.3386116959864043,0.3386116959864043,0.3386116959864043,0.0,1.0,1.0,10000,10000,1.0,104.75189294649863
mnist-10k,10000,1000,kmeans,order,8,0.1905493446980239,0.2179533520993942,0.2761397272150553,0.08559038251703141,0.3573942748631507,0.2264040242728929,909,1000,1662.0,0.34935382299954654
mnist-10k,10000,1000,kmeans,seed,8,0.15274242531271126,0.19674041443632112,0.2836358631801427,0.13089343786743146,0.4751241407045662,0.31179170368680686,976,976,1190.0,0.3727099759998964
mnist-10k,10000,1000,kmeans,canonical,8,0.2566329070588184,0.2566329070588184,0.2566329070588184,0.0,1.0,1.0,926,926,2561.0,0.40782354199836846
mnist-10k,10000,1000,gmm,order,8,0.03577605724351333,0.05505691563770089,0.17573616941429468,0.13996011217078136,0.2666542279576394,0.027190670322507344,909,1000,1662.0,2.433518052001091
mnist-10k,10000,1000,gmm,seed,8,0.03142963679823408,0.05008736935105272,0.06907077218291399,0.03764113538467991,0.5327479986364813,0.12539415079749516,976,976,1190.0,2.648595941998792
mnist-10k,10000,1000,gmm,canonical,8,0.24572894276299936,0.24572894276299936,0.24572894276299936,0.0,1.0,1.0,926,926,2561.0,3.098815941000794
mnist-10k,10000,1000,ward,order,8,0.16048226450655653,0.2541402471053022,0.2733537343038435,0.11287146979728699,0.3536160754861602,0.22611209500249732,909,1000,1662.0,0.5100615115006804
mnist-10k,10000,1000,ward,seed,8,0.16048226450655653,0.16048226450655653,0.16048226450655653,0.0,1.0,1.0,976,976,1190.0,0.5243999819995224
mnist-10k,10000,1000,ward,canonical,8,0.25692593013100523,0.25692593013100523,0.25692593013100523,0.0,1.0,1.0,926,926,2561.0,0.5644835410002997
mnist-10k,10000,200,kmeans,order,8,0.025299698203121182,0.10165599593138103,0.1934350491101037,0.1681353509069825,0.29490474695611374,0.12761092677072935,180,195,8611.0,0.2010458649983775
mnist-10k,10000,200,kmeans,seed,8,0.10429809777059275,0.14054157023286307,0.15468279531046214,0.05038469753986939,0.7025827756064368,0.461494339572537,183,183,3880.0,0.20301442649906676
mnist-10k,10000,200,kmeans,canonical,8,0.055458417590716194,0.055458417590716194,0.055458417590716194,0.0,1.0,1.0,190,190,6781.0,0.23227225899972836
mnist-10k,10000,200,gmm,order,8,0.04223984861819275,0.10597414963216478,0.17909158479890389,0.13685173618071114,0.40186217644877736,0.24786880690008237,180,195,8611.0,0.4072866824990342
mnist-10k,10000,200,gmm,seed,8,0.11445632950828863,0.1233549012474688,0.1561693333410618,0.04171300383277318,0.6424422311826303,0.499310164920109,183,183,3880.0,0.37377174199900765
mnist-10k,10000,200,gmm,canonical,8,0.05628225327216086,0.05628225327216086,0.05628225327216086,0.0,1.0,1.0,190,190,6781.0,0.416817634999461
mnist-10k,10000,200,ward,order,8,0.027457819454182558,0.11023130168159959,0.19092385222057814,0.1634660327663956,0.30865450947067824,0.12659048636003312,180,195,8611.0,0.20478366799943615
mnist-10k,10000,200,ward,seed,8,0.15643348816572095,0.15643348816572095,0.15643348816572095,0.0,1.0,1.0,183,183,3880.0,0.2121021210004983
mnist-10k,10000,200,ward,canonical,8,0.048246113464784544,0.048246113464784544,0.048246113464784544,0.0,1.0,1.0,190,190,6781.0,0.23213315250177402
